"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 11 12:03:17 GMT 2023","Mon Sep 11 12:03:17 GMT 2023","7","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Mon Sep 11 12:03:17 GMT 2023","Mon Sep 11 12:03:17 GMT 2023","14","","Labels","","Create new label via api","","Create new label via api",""
"passed","Mon Sep 11 12:03:17 GMT 2023","Mon Sep 11 12:03:17 GMT 2023","1","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Mon Sep 11 12:03:17 GMT 2023","Mon Sep 11 12:03:17 GMT 2023","1","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Mon Sep 11 12:03:17 GMT 2023","Mon Sep 11 12:03:17 GMT 2023","2","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"broken","Mon Sep 11 12:03:17 GMT 2023","Mon Sep 11 12:03:17 GMT 2023","12","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Mon Sep 11 12:03:17 GMT 2023","Mon Sep 11 12:03:17 GMT 2023","1","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
